닉네임,직업,레벨,전투력,점수,예측점수,실압투
빠따가2,신궁,99,6722100000000,7331740000,8509383436,-13.8%
블랙경윤,"아크메이지(썬,콜)",100,4161800000000,5889780000,5465762980,+7.8%
그린상훈,신궁,100,3528900000000,5583340000,4713387326,+18.5%
김안셀모,"아크메이지(썬,콜)",98,3193100000000,4627670000,4314196705,+7.3%
실버정환,섀도어,100,2236700000000,4450200000,3177252361,+40.1%
민우민우민우,섀도어,98,2444400000000,3267700000,3424160914,-4.6%
오렌지완,"아크메이지(불,독)",98,1251600000000,3235500000,2006190176,+61.3%
지난이야기,히어로,98,1679000000000,2698810000,2514272582,+7.3%
나로e,나이트로드,99,2026300000000,2674110000,2927134115,-8.6%
도돍,"아크메이지(썬,콜)",96,1410100000000,2195810000,2194611003,+0.1%
은평구돌주먹,나이트로드,97,1153300000000,1971330000,1889333600,+4.3%
쭈니짜응,섀도어,97,909293890000,1922790000,1599265254,+20.2%
짬뽕에소주,히어로,97,1012000000000,1677190000,1721359703,-2.6%
닼읔낰이트,다크나이트,96,1272400000000,1467300000,2030916695,-27.8%
하영과돌돌,히어로,96,1100400000000,1297470000,1826447407,-29.0%
가산요소,섀도어,98,872087850000,1284250000,1555035646,-17.4%
냥꾸니,신궁,94,708932830000,1234270000,1361081049,-9.3%
토우르,신궁,93,347721440000,1228210000,931682003,+31.8%
구준표춘,"아크메이지(썬,콜)",96,578003680000,1116370000,1205435757,-7.4%
핫딜방문판매,"아크메이지(불,독)",93,324444870000,822370000,904011401,-9.0%
전설의영포티,섀도어,93,480086540000,815070000,1089034316,-25.2%
앙끼모륑,"아크메이지(썬,콜)",94,568668990000,741650000,1194338912,-37.9%
레드웅이,비숍,91,113740620000,679220000,653531470,+3.9%
돈키호테바이,섀도어,92,211626980000,495080000,769896321,-35.7%
브라운철,"아크메이지(썬,콜)",88,50504580000,248770000,578358051,-57.0%
몽팡팡,비숍,82,11525600000,132100000,532020817,-75.2%
즐똥1,"아크메이지(썬,콜)",95,848896740000,0,0,
표뚀,나이트로드,95,984974380000,0,0,
맞수,나이트로드,96,875815540000,0,0,
